,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT4G37270,-0.5993935351342,5.76358724078495,-4.59367471463377,0.000162364132109382,0.00404089244966442,0.697374717255233
AT1G74520,0.6044154272999,4.0539724749776,4.58972878413874,0.000163887851898744,0.00406731444412336,0.850451512858903
AT3G14000,0.763269432551434,4.03140129693756,4.58961982959663,0.000163930128444145,0.00406731444412336,0.846684785624697
AT3G54710,1.25844224698945,3.01473216412373,4.58942793353025,0.000164004614682394,0.00406731444412336,0.944608480083003
AT1G52930,1.02754858765255,5.76882945927471,4.58871213037249,0.000164282761271759,0.00406883861247115,0.686848439550991
AT3G12300,-0.483828953707874,3.7474904913088,-4.5882769111922,0.000164452110902534,0.00406883861247115,0.875920684338937
AT3G19590,0.944009572377414,3.94574362308875,4.58485975298117,0.00016578789941987,0.00409707962458482,0.84048711385099
AT2G19520,0.724135425708631,6.15619001441459,4.58204744993496,0.000166895442685002,0.00411962052903962,0.650297725837301
AT3G03060,1.11938725320217,4.20594001779227,4.58042413342448,0.000167538128247998,0.00413064765317871,0.805164701987894
AT4G21270,0.996197799149105,4.00790540286998,4.57899480791999,0.00016810607477863,0.00413618151060635,0.812385608267657
AT4G34200,0.669995186563701,8.40856289256614,4.57887188925068,0.000168155007333475,0.00413618151060635,0.633342293657226
AT1G65980,-0.412321120178632,8.21485910086465,-4.57676470909005,0.000168996087101961,0.00414893121617785,0.626943774757473
AT3G23510,-1.0746359453243,5.57745640883638,-4.57658758497981,0.000169066978875559,0.00414893121617785,0.68112163400433
AT1G70140,-0.859586280054943,4.4399749749603,-4.57608505170941,0.00016926827481483,0.004149040968717,0.779465634550897
AT1G22750,-0.667325805418685,5.65436384786631,-4.57337756397467,0.000170356954132254,0.00417087641475949,0.661265375134927
AT3G10190,0.902556130884647,3.69998877484818,4.57179266284003,0.000170997511891248,0.0041710706753958,0.848850028290987
AT3G02885,2.62501216874753,3.62928421521412,4.57117036746124,0.000171249683183664,0.0041710706753958,0.880988209808312
AT3G21890,1.41108095848031,2.28265987379555,4.5707296250006,0.000171428510771001,0.0041710706753958,0.944581762282536
AT3G04680,0.738322226562809,4.16547297849986,4.57029883767424,0.000171603480908089,0.0041710706753958,0.792706028628237
AT3G29575,0.687396793362076,5.00484288462573,4.57019775914641,0.000171644561375119,0.0041710706753958,0.706135232712651
AT1G78680,-0.646167589130979,6.32171563220916,-4.56996607143742,0.000171738761572546,0.0041710706753958,0.616885754813931
AT2G38610,-0.501964591978859,5.09717927273104,-4.56988025874564,0.000171773664735167,0.0041710706753958,0.692634606805008
